episode,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss
388,18.2879,1.2820,2.36,38.68,383,-0.006745
389,17.1566,1.1606,2.31,37.81,350,-0.006743
390,17.8465,1.1955,2.25,36.97,360,-0.006746
391,18.7721,1.2253,2.45,40.96,383,-0.006749
392,18.5493,1.0071,2.09,34.47,362,-0.006747
393,17.1071,1.1439,2.23,36.24,379,-0.006741
394,17.2318,1.1519,2.29,37.65,355,-0.006747
395,18.6121,1.3343,2.41,39.83,365,-0.006742
396,16.8823,1.1921,2.39,39.73,366,-0.006738
397,20.5413,1.0849,2.14,34.87,399,-0.006736
398,19.4547,1.1896,2.26,37.56,385,-0.006733
399,17.0304,1.3172,2.41,39.96,359,-0.006728
400,18.2088,1.2838,2.31,38.13,368,-0.006730
401,17.6715,1.1808,2.30,38.26,360,-0.006727
402,18.6856,1.0614,2.18,35.72,368,-0.006735
403,18.5781,1.0625,2.25,37.07,363,-0.006732
404,18.4290,1.1557,2.17,35.25,370,-0.006733
405,18.4877,1.0273,2.04,32.71,372,-0.006730
406,18.7764,1.1340,2.26,37.54,385,-0.006736
407,16.8762,1.0379,2.16,34.86,363,-0.006733
408,16.8954,1.1263,2.28,37.92,353,-0.006729
409,19.6265,1.1971,2.28,37.49,390,-0.006735
410,19.1768,1.0944,2.22,36.36,377,-0.006732
411,17.0815,1.1909,2.31,38.57,372,-0.006736
412,19.0211,1.2160,2.25,36.80,388,-0.006735
413,18.1465,1.2710,2.28,37.83,375,-0.006727
414,18.3208,1.2817,2.34,39.69,389,-0.006731
415,15.6603,1.1429,2.29,38.07,345,-0.006725
416,17.3812,1.1715,2.28,38.24,374,-0.006726
417,18.9062,1.0297,2.17,36.21,378,-0.006727
418,19.0420,1.2284,2.39,39.15,385,-0.006728
419,19.4006,1.1902,2.17,36.38,378,-0.006737
420,18.3433,0.9994,2.19,36.40,366,-0.006740
421,17.3419,1.2698,2.45,40.68,379,-0.006744
422,17.6498,1.1331,2.18,35.35,370,-0.006742
423,18.1002,1.2221,2.36,39.12,342,-0.006746
424,18.8070,1.0936,2.16,34.77,366,-0.006753
425,17.8050,1.2110,2.41,39.74,373,-0.006754
426,17.7875,1.1971,2.30,38.29,349,-0.006754
427,18.3629,1.1472,2.21,35.79,363,-0.006760
428,18.0661,1.1011,2.26,37.42,368,-0.006761
429,17.4202,1.2823,2.35,39.07,369,-0.006758
430,17.6008,1.1026,2.20,36.02,351,-0.006763
431,17.8447,1.1098,2.23,36.16,371,-0.006762
432,19.9252,1.1067,2.22,37.33,371,-0.006764
433,19.2137,1.1092,2.18,35.40,390,-0.006762
434,16.9317,1.1160,2.22,36.59,371,-0.006765
435,17.9590,1.0710,2.19,36.13,369,-0.006767
436,19.7502,1.1433,2.23,37.19,379,-0.006768
437,19.3582,1.0812,2.27,37.86,376,-0.006771
438,18.2675,1.1652,2.22,36.67,374,-0.006772
439,17.9151,1.0683,2.12,33.97,363,-0.006773
440,17.0450,1.2562,2.40,40.54,367,-0.006772
441,18.6791,1.1243,2.31,37.78,366,-0.006774
442,19.6256,1.1382,2.20,36.07,393,-0.006773
443,17.2628,1.2692,2.23,36.61,347,-0.006775
444,19.4178,1.0927,2.20,35.95,382,-0.006778
445,16.3006,1.2271,2.42,40.40,344,-0.006777
446,17.4212,1.2727,2.45,41.07,367,-0.006778
447,16.9022,1.1153,2.15,35.48,345,-0.006777
448,19.4170,1.1724,2.31,38.46,373,-0.006781
449,19.6698,1.1016,2.15,34.86,382,-0.006776
450,15.5730,1.1614,2.32,37.82,338,-0.006775
451,17.0919,1.1467,2.26,37.12,365,-0.006774
452,17.9948,1.1959,2.30,37.90,353,-0.006771
453,18.7321,1.2600,2.40,40.34,392,-0.006769
454,18.6283,1.2214,2.21,36.75,378,-0.006765
455,17.4125,1.1748,2.21,35.98,360,-0.006763
456,17.9681,1.0957,2.29,38.81,360,-0.006757
457,16.0994,1.0801,2.18,35.71,349,-0.006749
458,19.1189,1.1647,2.25,36.69,376,-0.006746
459,17.4351,1.0973,2.18,35.18,351,-0.006741
460,15.7089,1.0941,2.26,37.41,352,-0.006732
461,16.4674,1.0451,2.11,35.08,346,-0.006730
462,17.8076,1.1793,2.31,37.72,371,-0.006723
463,18.1429,1.2055,2.29,37.52,370,-0.006724
464,18.9716,1.1101,2.25,36.56,391,-0.006719
465,19.2392,1.1646,2.20,36.00,389,-0.006722
466,17.7579,1.2796,2.33,38.68,372,-0.006715
467,16.7292,1.1325,2.25,37.02,355,-0.006717
