tls_id,timesteps,ep_rew_mean,ep_len_mean,value_loss,policy_gradient_loss,entropy_loss
A0,393216,,,0.028115,-0.000267,-0.020451
A0,397312,,,0.031695,-9.8e-05,-0.021076
A0,401408,,,0.028557,-0.001376,-0.040752
A0,405504,,,0.034663,-0.001397,-0.031468
A0,409600,,,0.032891,-0.000698,-0.01983
A0,413696,,,0.029626,-0.000231,-0.01573
A0,417792,,,0.03287,-0.000642,-0.016743
A0,421888,,,0.031732,-0.000359,-0.012959
A0,425984,,,0.034926,-9.3e-05,-0.009545
A0,430080,,,0.034182,-0.000114,-0.010863
A0,434176,,,0.031708,6.8e-05,-0.011716
A0,438272,,,0.03245,-0.00039,-0.014564
A0,442368,,,0.031496,2.3e-05,-0.019793
A0,446464,,,0.032831,-0.000771,-0.035598
A0,450560,,,0.031326,-0.000736,-0.027528
A0,454656,,,0.036094,-0.000876,-0.022296
A0,458752,,,0.033559,-0.000238,-0.013179
A0,462848,,,0.032679,-0.000314,-0.012154
A0,466944,,,0.030566,-0.000407,-0.009759
A0,471040,,,0.031253,-0.000162,-0.008193
A0,475136,,,0.031904,-8.3e-05,-0.006899
A0,479232,,,0.029909,-0.00033,-0.008179
A0,483328,,,0.035483,-0.000402,-0.005687
A0,487424,,,0.03029,-5.9e-05,-0.004135
A0,491520,,,0.029292,-0.0,-0.003915
A0,495616,,,0.034918,-0.00021,-0.007809
A0,499712,,,0.03325,-0.000115,-0.003957
A0,503808,,,0.035191,-0.00034,-0.005029
A0,507904,,,0.034864,-0.0,-0.00305
A0,512000,,,0.031357,4.5e-05,-0.00653
A0,516096,,,0.034277,-0.0018,-0.017982
A0,520192,,,0.037683,-0.000921,-0.00975
A0,524288,,,0.031287,-0.000199,-0.004939
A0,528384,,,0.033844,-0.0,-0.00285
A0,532480,,,0.033327,-0.000283,-0.007382
A0,536576,,,0.036012,-0.000469,-0.007595
A0,540672,,,0.02484,-0.0,-0.001815
A0,544768,,,0.032198,-8.8e-05,-0.003046
A0,548864,,,0.034501,-3e-06,-0.003877
A0,552960,,,0.03132,-0.000226,-0.007019
A0,557056,,,0.036375,-0.000894,-0.004601
A0,561152,,,0.034486,0.0,-0.00117
A0,565248,,,0.033662,-0.0,-0.001905
A0,569344,,,0.032032,-4.6e-05,-0.00334
A0,573440,,,0.034141,0.0,-0.00289
A0,577536,,,0.033153,-0.000213,-0.008568
A0,581632,,,0.031164,-0.0003,-0.006119
A0,585728,,,0.029405,-0.000161,-0.004783
A0,589824,,,0.033672,0.0,-0.004035
A0,593920,,,0.033004,-0.000233,-0.01191
A0,598016,,,0.035701,-0.000538,-0.015983
A0,602112,,,0.029224,-5.6e-05,-0.005291
A0,606208,,,0.036815,-0.00024,-0.005456
A0,610304,,,0.029459,-0.000175,-0.005322
A0,614400,,,0.032418,-5.7e-05,-0.003834
A0,618496,,,0.034141,-0.0,-0.001841
A0,622592,,,0.034894,-0.000397,-0.003299
A0,626688,,,0.033134,0.0,-0.002639
A0,630784,,,0.037437,-0.000157,-0.007122
A0,634880,,,0.036936,-0.000199,-0.0058
A0,638976,,,0.029401,-0.000238,-0.002834
A0,643072,,,0.032878,-0.0,-0.001628
A0,647168,,,0.03907,-0.000319,-0.003198
A0,651264,,,0.03302,-0.0,-0.001319
A0,655360,,,0.033358,-0.0,-0.002276
A0,659456,,,0.031018,-0.000185,-0.005292
