#{"t_start": 1776557730.566679, "env_id": "None"}
r,l,t
-610.7,367,8334.686512
-5235.8,772,8353.340379
-615.9,367,8357.420294
-197.1,367,8361.276675
-5235.2,772,8382.47461
-613.9,367,8386.381562
-5235.8,772,8406.911278
-198.3,367,8410.03784
-5235.2,772,8431.74907
-5237.6,772,8452.257877
-5231.4,772,8471.843311
-5231.4,772,8494.192942
-194.7,367,8496.84443
-197.9,367,8499.224214
-613.5,367,8501.991869
-5227.4,772,8521.95318
-192.1,367,8524.768879
-195.7,367,8527.134172
-195.7,367,8530.330213
-5232.0,772,8552.760892
-199.9,367,8556.112387
-608.7,367,8560.152049
-610.3,367,8564.132894
-5225.8,772,8584.737662
-190.9,367,8587.137848
-195.1,367,8589.671926
-5223.4,772,8609.143353
-609.5,367,8613.047533
-5227.2,772,8634.484694
-5231.2,772,8653.680899
-5227.2,772,8674.559902
-195.1,367,8677.024504
-5224.2,772,8696.956067
-193.9,367,8699.285431
-609.9,367,8701.895942
-611.3,367,8705.121041
-5230.4,772,8723.789712
-5231.8,772,8742.764176
-193.1,367,8747.999332
-193.3,367,8751.001688
-610.1,367,8755.021998
-5228.8,772,8775.366158
-609.1,367,8779.787794
-5225.2,772,8799.895592
-5228.4,772,8818.416445
-610.9,367,8822.209784
-196.1,367,8825.817785
-192.7,367,8829.815181
-189.5,367,8833.226409
-193.3,367,8835.886303
-196.7,367,8839.429969
-193.7,367,8844.665498
-606.9,367,8848.302031
-608.9,367,8852.316905
-190.5,367,8855.875641
-608.1,367,8859.593732
-613.9,367,8862.886448
-193.5,367,8866.579881
-5227.6,772,8886.509032
-610.1,367,8889.351249
-605.7,367,8891.999534
-5223.8,772,8912.736683
-193.5,367,8915.349241
-194.3,367,8917.753031
-607.5,367,8920.419417
-608.3,367,8923.735069
-5221.8,772,8943.645245
-191.3,367,8947.037488
-5227.6,772,8967.874145
-5224.6,772,8989.325694
-5222.2,772,9009.580086
-603.7,367,9013.170439
-5223.4,772,9034.698099
-5221.8,772,9055.320128
-5220.6,772,9075.082489
-5222.4,772,9095.139988
-605.1,367,9098.336842
-190.9,367,9100.661563
-191.1,367,9103.000546
-5223.6,772,9123.919508
-5214.4,772,9142.069045
-191.9,367,9145.99611
-605.7,367,9150.247058
-5221.8,772,9173.525634
-610.7,367,9177.628557
-195.9,367,9181.244308
-607.9,367,9183.786527
-197.9,367,9187.866764
-613.7,367,9192.122952
-197.9,367,9195.098058
-614.5,367,9198.276227
-5239.2,772,9217.07258
-5231.6,772,9238.908787
-5235.4,772,9257.390205
-611.7,367,9261.319061
-606.1,367,9267.160071
-606.9,367,9270.946113
-194.5,367,9274.444297
-194.9,367,9277.554589
-196.9,367,9280.430991
-610.5,367,9283.349621
-612.7,367,9288.010564
-5229.0,772,9308.535225
-198.7,367,9311.842087
-5232.6,772,9335.701408
-612.7,367,9339.523381
-5237.4,772,9358.042155
-613.3,367,9360.910392
-616.7,367,9364.097275
-613.5,367,9367.427712
-5233.4,772,9389.284725
-197.7,367,9393.201272
-5236.2,772,9415.546728
