#{"t_start": 1776373617.1096044, "env_id": "None"}
r,l,t
-202.6,367,8504.124077
-203.5,367,8507.285059
-5015.9,773,8525.139711
-624.6,369,8528.982413
-5039.7,772,8547.861571
-624.1,368,8551.574179
-627.5,367,8554.660151
-5020.8,767,8573.070793
-202.0,367,8576.112514
-621.6,371,8580.338626
-204.4,367,8583.437875
-622.9,367,8586.682024
-620.8,367,8590.695172
-616.7,367,8594.935352
-5027.2,766,8613.354473
-624.1,368,8616.081775
-5020.1,773,8635.824506
-4997.8,766,8655.242899
-5001.2,766,8673.360269
-5004.0,766,8692.890306
-198.8,370,8696.736558
-621.4,367,8699.285144
-199.8,367,8701.721984
-198.2,367,8704.026369
-617.5,369,8708.429154
-202.0,367,8712.143891
-5018.8,772,8730.114392
-617.6,367,8733.957676
-198.4,367,8738.781384
-611.1,367,8741.549516
-196.0,367,8744.858752
-615.0,367,8747.770206
-616.7,367,8751.392264
-5002.2,767,8770.388658
-628.4,367,8773.052045
-612.7,367,8776.443388
-193.0,367,8780.054851
-4981.5,767,8800.459773
-613.9,367,8803.74825
-195.0,367,8807.040035
-193.9,368,8809.799223
-4991.8,766,8829.389185
-4970.0,766,8849.292659
